DiseaseName	DiseaseID	ParentIDs	Synonyms
2-Hydroxyglutaricaciduria	MESH:C535306	MESH:D020739	2-Hga|2-Hydroxyglutaric Aciduria|Combined D-2- and L-2-hydroxyglutaric aciduria|D-2-HGA|D2HGA|D2HGA1|D2HGA2|D-2-Hydroxyglutaric Acidemia|D-2-hydroxyglutaric aciduria|D-2-HYDROXYGLUTARIC ACIDURIA 1|D-2-HYDROXYGLUTARIC ACIDURIA 2|D-2-hydroxyglutaric and L-2-hydroxyglutaric aciduria|D2L2AD|L-2-HGA|L2HGA|L-2-Hydroxyglutaric Acidemia|L-2-hydroxyglutaric aciduria
2-Methylacetoacetyl CoA thiolase deficiency	MESH:C535307	MESH:D000592	
2-Methylbutyryl-CoA Dehydrogenase Deficiency	MESH:C566487	MESH:D000592	2-ethylhydracylic aciduria|2-MBCD Deficiency|2-Methylbutyryl-Coenzyme A Dehydrogenase Deficiency|2-Methylbutyryl Glycinuria|Elevated urinary 2-ethylhydracylic acid|Elevated urinary 2-methylbutyrylglycine|SBCADD|Short-Branched-Chain Acyl-CoA Dehydrogenase Deficiency|SHORT/BRANCHED-CHAIN ACYL-CoA DEHYDROGENASE DEFICIENCY
3C syndrome	MESH:C535313	MESH:D000015|MESH:D003616|MESH:D006344|MESH:D019465	3C SYNDROME|CCC dysplasia|Craniocerebellocardiac dysplasia|Dandy-Walker-like malformation with atrioventricular septal defect|Ritscher Schinzel syndrome|Ritscher-Schinzel Syndrome|RITSCHER-SCHINZEL SYNDROME 1|RITSCHER-SCHINZEL SYNDROME 2|RTSC1|RTSC2
3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency	MESH:C538324	MESH:D000592	3-Hydroxy-3-Methylglutaric Aciduria|3-Hydroxy 3-Methyl Glutaric Aciduria|3-Hydroxy-3-Methylglutaryl-Coenzyme A Lyase Deficiency|3-Hydroxyl 3-Methyl Glutaric Aciduria|Deficiency of Hydroxymethylglutaryl-CoA Lyase|HL DEFICIENCY|HMGCLD|HMGCL DEFICIENCY|HMG CoA Lyase Deficiency|HMG-CoA Lyase Deficiency|Hydroxymethylglutaric Aciduria
3-Hydroxy-3-Methylglutaryl-CoA Synthase 2 Deficiency	MESH:C567784	MESH:D007003|MESH:D008661|MESH:D028361	3-HYDROXY-3-METHYLGLUTARYL-CoA SYNTHASE-2 DEFICIENCY|HMGCS2D|HMGCS2 Deficiency|Mitochondrial HMG-CoA Synthase Deficiency
3-Hydroxyacyl-CoA Dehydrogenase Deficiency	MESH:C535310	MESH:D008661	3-Alpha-Hydroxyacyl-Coenzyme A Dehydrogenase Deficiency|3-Hydroxyacyl-Coenzyme A Dehydrogenase Deficiency|HAD Deficiency|HADH Deficiency|HADHSC Deficiency|L-3-Alpha-Hydroxyacyl-CoA Dehydrogenase, Short Chain, Deficiency|M-SCHAD Deficiency|SCHAD Deficiency|SCHAD DEFICIENCY, FORMERLY
3-Hydroxyisobutyric aciduria	MESH:C535312	MESH:D000592	
3-methylcrotonyl CoA carboxylase 1 deficiency	MESH:C535308	MESH:D056806	3 alpha methylcrotonylglycinuria 1|3-Mcc Deficiency|3-METHYLCROTONYL-CoA CARBOXYLASE 1 DEFICIENCY|3-Methylcrotonyl-Coa Carboxylase Deficiency|3 Methylcrotonyl-CoA carboxylase deficiency|3-Methylcrotonyl-Coenzyme A Carboxylase Deficiency|3 Methylcrotonylglycinuria|3-Methylcrotonylglycinuria|3-Methylcrotonylglycinuria I|Bmcc Deficiency|Deficiency of Methylcrotonoyl-Coa Carboxylase|MCC1D|MCC1 Deficiency|Mcc Deficiency|MCCD Type 1|methylcrotonoyl-CoA carboxylase 1 deficiency|Methylcrotonyl-Coa Carboxylase Deficiency|Methylcrotonylglycinuria Type I
3-methylcrotonyl CoA carboxylase 2 deficiency	MESH:C535309	MESH:D056806	3 alpha methylcrotonyl-coa carboxylase 2 deficiency|3 alpha methylcrotonylglycinuria 2|3-Methylcrotonyl-CoA Carboxylase 2 Deficiency|3-Methylcrotonylglycinuria II|MCC2D|MCC2 Deficiency|methylcrotonoyl-CoA carboxylase 2 deficiency|Methylcrotonylglycinuria type 2|Methylcrotonylglycinuria, Type II
3-Methylglutaconic Aciduria	MESH:C579867	MESH:D008661	3mga (3-Methylglutaconic Aciduria)
3-Methylglutaconic Aciduria, Type I	MESH:C562801	MESH:D008661	3-Methylglutaconyl-CoA Hydratase Deficiency|3-Mg-CoA-Hydratase Deficiency|MGA1|MGA, Type I|MGCA1
3-Methylglutaconic Aciduria Type IV	MESH:C565393	MESH:D000015|MESH:D008661	MGA4|MGA Type IV
3-Methylglutaconic Aciduria, Type V	MESH:C565706	MESH:D002311|MESH:D002524|MESH:D008661	Cardiomyopathy, Dilated, with Ataxia|DCMA|MGA5|MGA, Type V|MGCA5
3-METHYLGLUTACONIC ACIDURIA, TYPE VIIB	OMIM:616271	MESH:C579867|MESH:D002386|MESH:D009461|MESH:D009503	3-METHYLGLUTACONIC ACIDURIA WITH CATARACTS, NEUROLOGIC INVOLVEMENT, AND NEUTROPENIA, AUTOSOMAL RECESSIVE|MEGCANN|MGCA7|MGCA7B
3-METHYLGLUTACONIC ACIDURIA, TYPE VIII	OMIM:617248	MESH:C579867	MGCA8
3-METHYLGLUTACONIC ACIDURIA WITH DEAFNESS, ENCEPHALOPATHY, AND LEIGH-LIKE SYNDROME	OMIM:614739	MESH:C579867|MESH:D001927|MESH:D003638|MESH:D007888	3-METHYLGLUTACONIC ACIDURIA, TYPE VI|3-METHYLGLUTACONIC ACIDURIA WITH DYSTONIA-DEAFNESS, HEPATOPATHY, ENCEPHALOPATHY, AND LEIGH-LIKE SYNDROME|MEGDEL|MEGDHEL|MGCA6
46, XX Disorders of Sex Development	MESH:D058489	MESH:D012734	46,XX Disorders of Sex Development|46,XX DSD|46, XX DSD|Female Pseudohermaphroditism|Female Pseudohermaphroditisms|Pseudohermaphroditism, Female|Pseudohermaphroditisms, Female
46,XX Gonadal dysgenesis epibulbar dermoid	MESH:C535316	MESH:D003884|MESH:D023961	
46,Xx Gonadal Dysgenesis, Partial Or Complete, Autosomal	MESH:C567597	MESH:D023961	Xx Male Syndrome, Sry-Negative
46,XX SEX REVERSAL 1	OMIM:400045	MESH:D023961	46,XX GONADAL DYSGENESIS, COMPLETE, SRY-POSITIVE 46,XX TRUE HERMAPHRODITISM, SRY-POSITIVE, INCLUDED|46,XX SEX REVERSAL, SRY-POSITIVE|46,XX TESTICULAR DISORDER OF SEX DEVELOPMENT|OVOTESTICULAR DISORDER OF SEX DEVELOPMENT, INCLUDED|OVOTESTICULAR DSD, INCLUDED|SRXX1|XX MALE, SRY-POSITIVE
46,XX SEX REVERSAL 2	OMIM:278850	MESH:D023961	CHROMOSOME 17q24 DUPLICATION SYNDROME|SRXX2
46,XX SEX REVERSAL 3	OMIM:300833	MESH:D023961	46,XX SEX REVERSAL, SOX3-RELATED  CHROMOSOME Xq26 DELETION SYNDROME, INCLUDED|CHROMOSOME Xq26 DUPLICATION SYNDROME|SRXX3
46,XX SEX REVERSAL WITH DYSGENESIS OF KIDNEYS, ADRENALS, AND LUNGS	OMIM:611812	MESH:D000307|MESH:D007674|MESH:D008171|MESH:D058489	SERKAL|SERKAL SYNDROME
46, XX Testicular Disorders of Sex Development	MESH:D058531	MESH:D058489	46, XX Gonadal Sex Reversal|46, XX Testicular Disorder of Sex Development|46, XX Testicular DSD|Gonadal Sex Reversal, 46, XX|Reversals, XX Sex|Reversal, XX Sex|Sex Reversal, Gonadal, 46, XX|Sex Reversals, XX|Sex Reversal, XX|Syndromes, XX Male|Syndrome, XX Male|XX Male Syndrome|XX Male Syndromes|XX Sex Reversal|XX Sex Reversals
46, XY female	MESH:C536769	MESH:D006061	XY Female
46,XY Gonadal Dysgenesis, Complete or Partial, DHH-Related	MESH:C565537	MESH:D006061	46,XY GONADAL DYSGENESIS, PARTIAL OR COMPLETE, DHH-RELATED|46,XY SEX REVERSAL 7|46,XY SEX REVERSAL, PARTIAL OR COMPLETE, DHH-RELATED|GDXYM|Gonadal Dysgenesis, XY, Male Limited|GONADAL DYSGENESIS, XY, MALE-LIMITED|SRXY7
46,Xy Gonadal Dysgenesis, Complete, Sry-Related	MESH:C567574	MESH:D006061	Gonadal Dysgenesis, Xy Female Type
46,Xy Gonadal Dysgenesis, Partial, With Minifascicular Neuropathy	MESH:C567773	MESH:D006061|MESH:D011115	46,XY GONADAL DYSGENESIS WITH MINIFASCICULAR NEUROPATHY|GDMN
46,XY SEX REVERSAL 1	OMIM:400044	MESH:D006061|MESH:D050090	46,XY GONADAL DYSGENESIS, COMPLETE, SRY-RELATED 46,XY TRUE HERMAPHRODITISM, SRY-RELATED, INCLUDED|46,XY SEX REVERSAL, SRY-RELATED|SEX-REVERSING LOCUS ON X, FORMERLY, INCLUDED;SRVX, FORMERLY, INCLUDED|SRXY1|TESTIS-DETERMINING FACTOR, X-CHROMOSOMAL, FORMERLY, INCLUDED;TDFX, FORMERLY, INCLUDED
46,XY SEX REVERSAL 10	OMIM:616425	MESH:D006061	CHROMOSOME 17q24 DELETION SYNDROME|SRXY10
46,XY Sex Reversal 4	MESH:C567887	MESH:D006061	46,Xy Gonadal Dysgenesis, Complete Or Partial, With 9p24.3 Deletion|46,XY GONADAL DYSGENESIS, PARTIAL OR COMPLETE, WITH 9p24.3 DELETION|Chromosome 9p24.3 Deletion Syndrome|SRXY4
46, XY Sex Reversal 5	MESH:C567766	MESH:D006061	46,Xy Gonadal Dysgenesis, Complete, Cbx2-Related|46,XY SEX REVERSAL 5|46,XY SEX REVERSAL, CBX2-RELATED|Disorder Of Sex Development, 46,Xy, Cbx2-Related|Sex Reversal, Xy, Cbx2-Related|SRXY5
46,XY SEX REVERSAL 6	OMIM:613762	MESH:D006061	46,XY GONADAL DYSGENESIS, PARTIAL OR COMPLETE, MAP3K1-RELATED|46,XY SEX REVERSAL, PARTIAL OR COMPLETE, MAP3K1-RELATED|SRXY6
46,XY SEX REVERSAL 9	OMIM:616067	MESH:D006061	46,XY SEX REVERSAL, ZFPM2-RELATED|SRXY9
46,Xy True Hermaphroditism, Sry-Related	MESH:C567575	MESH:D050090|MESH:D058490	
47, XYY syndrome	MESH:C535317	MESH:D014997|MESH:D025064	47 XYY syndrome|Jacob's syndrome|XYY syndrome|YY syndrome
49,XXXXX syndrome	MESH:C535319	MESH:D000782|MESH:D012729|MESH:D025064	Chromosome X pentasomy|Chromosome XXXXX syndrome|Pentasomy X|Pentasomy X syndrome|Penta-X syndrome
4-hydroxyphenylacetic aciduria	MESH:C535315	MESH:D007410	
5 alpha Fluorouracil toxicity	MESH:C531667	MESH:D054067	
5-HYDROXYTRYPTAMINE OXYGENASE REGULATOR	OMIM:143460	MESH:D004314	HTOR
5-Nucleotidase syndrome	MESH:C535321	MESH:D008661	5'-Nucleotidase syndrome
5-oxoprolinase deficiency	MESH:C535322	MESH:D000592	5-alpha-oxoprolinase deficiency|5-OXOPROLINURIA DUE TO 5-OXOPROLINASE DEFICIENCY|OPLAHD|Oxoprolinuria due to 5-oxoprolinase deficiency|Oxoprolinuria Due To Oxoprolinase Deficiency
6-Phosphogluconolactonase Deficiency	MESH:C566803	MESH:D000743|MESH:D008661	6PGL Deficiency
6-pyruvoyl-tetrahydropterin synthase deficiency	MESH:C535325	MESH:D010661	6-PYRUVOYL-TETRAHYDROPTERIN SYNTHASE DEFICIENCY|HPABH4A|HYPERPHENYLALANINEMIA, BH4-DEFICIENT, A|Hyperphenylalaninemia, BH4-Deficient, Type A|Hyperphenylalaninemia due to 6-pyruvoyltetrahydropterin synthase deficiency|Hyperphenylalaninemia, Tetrahydrobiopterin-Deficient, Due To PTS Deficiency|PTPSD|PTPS deficiency|PTSD|PTS Deficiency|PTS DEFICIENCY HYPERPHENYLALANINEMIA, BH4-DEFICIENT, DUE TO PARTIAL PTS DEFICIENCY, INCLUDED
6q24-Related Transient Neonatal Diabetes Mellitus	MESH:C579872	MESH:D000096803|MESH:D003920	6q24-Tndm|Tndm Type 1|transient neonatal diabetes mellitus type 1
6q+ Syndrome, Partial	MESH:C537810	MESH:D014314|MESH:D025063	Chromosome 6, partial trisomy 6q|Chromosome 6, Trisomy 6q2|Distal Duplication 6q|Trisomy 6q, Partial|Trisomy 6q Syndrome, Partial
7p2 monosomy syndrome	MESH:C537818	MESH:D002872|MESH:D025063	Chromosome 7, monosomy 7p2|Chromosome 7, partial deletion of short arm (7p2-)|Chromosome 7, partial monosomy 7p|Chromosome 7, terminal 7p deletion (del 7p21-p22)
9q22.3 Microdeletion	MESH:C579873	MESH:D025063	9q22.3 Deletion|9q22 Deletion Syndrome|Microdeletion 9q22.3 Syndrome
AA amyloidosis	MESH:C000718787	MESH:D000686	Amyloid A amyloidosis
Aagenaes syndrome	MESH:C535330	MESH:D002779|MESH:D008209	AAGENAES SYNDROME|CHLS|Cholestasis lymphedema syndrome|Cholestasis-Lymphedema Syndrome|LCS|LCS1|Lymphedema - cholestasis syndrome|Lymphedema-Cholestasis Syndrome
Aarskog Syndrome	MESH:C535331	MESH:D004392|MESH:D006228|MESH:D006330|MESH:D040181	Aarskog Disease|Aarskog-Like Syndrome|Aarskog-Scott Syndrome|AARSKOG SYNDROME, X-LINKED|AAS|Facio-Digito-Genital Dysplasia|Faciodigitogenital Syndrome|Faciodigitogenital Syndrome, Recessive|Faciogenital Dysplasia|FGDY|Kuwait Type Faciodigitogenital Syndrome|Scott Aarskog Syndrome
AARSKOG SYNDROME, AUTOSOMAL DOMINANT	OMIM:100050	MESH:C535331	
Aase Smith syndrome	MESH:C535332	MESH:D000015|MESH:D002972|MESH:D003286|MESH:D006849|MESH:D017880	Aase-Smith Syndrome I|Hydrocephalus cleft palate joint contractures|Joint contractures with other abnormalities
Aase Smith syndrome 2	MESH:C538442	MESH:D029503	Aase-Smith Syndrome II|Aase syndrome|Anemia and triphalangeal thumbs|Anemia congenital erythroid hypoplastic|Anemia, Congenital Erythroid Hypoplastic|Aregenerative anemia, chronic congenital|Congenital anemia and triphalangeal thumbs|Diamond-Blackfan Anemia 6|Hypoplastic anemia-triphalangeal thumbs, Aase-Smith type
abc disease	MESH:C579754	MESH:D009369	
ABCD syndrome	MESH:C535334	MESH:D014849	ABCDS|Albinism, Black lock, Cell migration disorder of the neurocytes of the gut, and Deafness
Abderhalden-Kaufmann-Lignac syndrome	MESH:C535335	MESH:D003554	Abderhalden Kaufmann Lignac syndrome|Abderhalden-Lignac-Kaufmann disease
Abdomen, Acute	MESH:D000006	MESH:D015746	Abdomens, Acute|Acute Abdomen|Acute Abdomens
Abdominal Abscess	MESH:D018784	MESH:D000038	Abdominal Abscesses|Abscess, Abdominal|Abscesses, Abdominal|Abscesses, Intra-Abdominal|Abscess, Intra Abdominal|Abscess, Intra-Abdominal|Intra-Abdominal Abscess|Intra-Abdominal Abscesses
Abdominal chemodectomas with cutaneous angiolipomas	MESH:C535552	MESH:D010236|MESH:D012878	Chemodectoma, Intraabdominal, with Cutaneous Angiolipomas|Familial abdominal chemodectomas with cutaneous angiolipomas
Abdominal cystic lymphangioma	MESH:C535553	MESH:D012186|MESH:D018191	Abdominal retroperitoneal lymphangioma|Retroperitoneal cystic lymphangioma
Abdominal Injuries	MESH:D000007	MESH:D014947	Abdominal Injury|Injuries, Abdominal|Injury, Abdominal
Abdominal Neoplasms	MESH:D000008	MESH:D009371	Abdominal Neoplasm|Neoplasm, Abdominal|Neoplasms, Abdominal
Abdominal obesity metabolic syndrome	MESH:C535554	MESH:D024821	Abdominal Obesity-Metabolic Syndrome
ABDOMINAL OBESITY-METABOLIC SYNDROME 1	OMIM:605552	MESH:C535554|MESH:D056128	AOMS1|METABOLIC SYNDROME, PROTECTION AGAINST, INCLUDED|METABOLIC SYNDROME X ABDOMINAL OBESITY-METABOLIC SYNDROME QUANTITATIVE TRAIT LOCUS 1, INCLUDED
ABDOMINAL OBESITY-METABOLIC SYNDROME 3	OMIM:615812	MESH:C535554|MESH:D056128	AOMS3|CENTRAL OBESITY, TYPE 2 DIABETES, HYPERTENSION, AND EARLY-ONSET CORONARY ARTERY DISEASE
Abdominal Pain	MESH:D015746	MESH:D010146|MESH:D012817	Abdominal Pains|Colicky Pain|Colicky Pains|Pain, Abdominal|Pain, Colicky|Pains, Abdominal|Pains, Colicky
Abducens Nerve Diseases	MESH:D020434	MESH:D003389	6th Nerve Palsies|6th Nerve Palsy|Abducens Nerve Disease|Abducens Nerve Palsies|Abducens Nerve Palsy|Abducens Palsies|Abducens Palsy|Abducens Palsy, Childhood, Benign Recurrent|Benign Recurrent Abducens Palsy, Children|Benign Recurrent Abducens Palsy of Childhood|Cranial Nerve VI Diseases|Cranial Nerve VI Palsy|Lateral Rectus Palsies|Lateral Rectus Palsy|Palsies, 6th Nerve|Palsies, Abducens|Palsies, Abducens Nerve|Palsies, Lateral Rectus|Palsies, Sixth Nerve|Palsies, VI Nerve|Palsy, 6th Nerve|Palsy, Abducens|Palsy, Abducens Nerve|Palsy, Lateral Rectus|Palsy, Sixth Nerve|Palsy, VI Nerve|Sixth Cranial Nerve Diseases|Sixth Cranial Nerve Disorders|Sixth Cranial Nerve Palsy|Sixth Nerve Palsies|Sixth Nerve Palsy|VI Nerve Palsy|VIth Cranial Nerve Diseases
Abducens Nerve Injury	MESH:D020222	MESH:D020209|MESH:D020434	Abducens Nerve Injuries|Abducens Nerve Trauma|Abducens Nerve Traumas|Abducens Neuropathies, Traumatic|Abducens Neuropathy, Traumatic|Cranial Nerve VI Injury|Injuries, Abducens Nerve|Injury, Abducens Nerve|Injury, Cranial Nerve VI|Injury, Sixth Cranial Nerve|Nerve Injuries, Abducens|Nerve Injury, Abducens|Nerve Trauma, Abducens|Nerve Traumas, Abducens|Sixth Cranial Nerve Injuries|Sixth Cranial Nerve Injury|Sixth-Nerve Palsies, Traumatic|Sixth Nerve Palsy, Traumatic|Sixth-Nerve Palsy, Traumatic|Sixth Nerve Trauma|Sixth-Nerve Trauma|Sixth-Nerve Traumas|Trauma, Abducens Nerve|Traumas, Abducens Nerve|Trauma, Sixth-Nerve|Traumas, Sixth-Nerve|Traumatic Abducens Neuropathies|Traumatic Abducens Neuropathy|Traumatic Sixth-Nerve Palsies|Traumatic Sixth Nerve Palsy|Traumatic Sixth-Nerve Palsy
Aberrant Crypt Foci	MESH:D058739	MESH:D011230	Crypt Foci, Aberrant|Foci, Aberrant Crypt
Aberrant subclavian artery	MESH:C535555	MESH:D018376	Aberrant left subclavian artery|Aberrant right subclavian artery
Abetalipoproteinemia	MESH:D000012	MESH:D006995	ABL|Acanthocytoses|Acanthocytosis|Bassen Kornzweig Disease|Bassen-Kornzweig Disease|Bassen Kornzweig Syndrome|Bassen-Kornzweig Syndrome|Betalipoprotein Deficiency Disease|Betalipoprotein Deficiency Diseases|Deficiency Disease, Betalipoprotein|Deficiency Diseases, Betalipoprotein|Disease, Betalipoprotein Deficiency|Diseases, Betalipoprotein Deficiency|Microsomal Triglyceride Transfer Protein Deficiency|Microsomal Triglyceride Transfer Protein Deficiency Disease|MTP DEFICIENCY
Abetalipoproteinemia neuropathy	MESH:C540309	MESH:D000012|MESH:D001259	
Abidi X-linked mental retardation syndrome	MESH:C535556	MESH:D019465|MESH:D034381|MESH:D038901	ABIDI X-LINKED MENTAL RETARDATION SYNDROME|INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, ABIDI TYPE|Mental retardation X-linked, Abidi type|Mental Retardation, X-Linked, Abidi Type|MENTAL RETARDATION, X-LINKED, SYNDROMIC, ABIDI TYPE|MRXSAB|Short stature, small head circumference, sloping forehead, hearing loss, cupped ears and small testes
Ablepharon macrostomia syndrome	MESH:C535557	MESH:D000015|MESH:D005124|MESH:D008265	Ablepharon-Macrostomia Syndrome|AMS
Abnormal fusion of dental cementum with alveolar bone	MESH:C536375	MESH:D020254	Molar I reinclusion|Secondary retention of permanent molars
Abnormalities, Drug-Induced	MESH:D000014	MESH:D000013	Abnormalities, Drug Induced|Abnormality, Drug-Induced|Drug Induced Abnormalities|Drug-Induced Abnormalities|Drug-Induced Abnormality
Abnormalities, Multiple	MESH:D000015	MESH:D000013	Multiple Abnormalities
Abnormalities, Radiation-Induced	MESH:D000016	MESH:D000013|MESH:D011832	Abnormalities, Radiation Induced|Abnormality, Radiation-Induced|Radiation Induced Abnormalities|Radiation-Induced Abnormalities|Radiation-Induced Abnormality
Abnormalities, Severe Teratoid	MESH:D009008	MESH:D000013	Abnormality, Severe Teratoid|Severe Teratoid Abnormalities|Severe Teratoid Abnormality|Teratoid Abnormalities, Severe|Teratoid Abnormality, Severe
Abnormal Karyotype	MESH:D059786	MESH:D002869	Abnormal Karyotypes|Karyotype, Abnormal|Karyotypes, Abnormal
Abortion, Habitual	MESH:D000026	MESH:D000022	Abortion, Recurrent|Habitual Abortion|Habitual Abortions|Miscarriage, Recurrent|Recurrent Abortion|Recurrent Abortions|Recurrent Early Pregnancy Loss|Recurrent Miscarriage|Recurrent Miscarriages
Abortion, Incomplete	MESH:D000027	MESH:D000022	Abortions, Incomplete|Incomplete Abortion|Incomplete Abortions|Miscarriage, Missed|Miscarriages, Missed|Missed Miscarriage|Missed Miscarriages
Abortion, Missed	MESH:D000030	MESH:D000022	Abortions, Missed|Missed Abortion|Missed Abortions
Abortion, Septic	MESH:D000031	MESH:D000022|MESH:D011251	Abortions, Septic|Septic Abortion|Septic Abortions
Abortion, Spontaneous	MESH:D000022	MESH:D011248	Abortions, Spontaneous|Abortions, Tubal|Abortion, Tubal|Early Pregnancy Loss|Early Pregnancy Losses|Loss, Early Pregnancy|Losses, Early Pregnancy|Miscarriage|Miscarriages|Pregnancy Loss, Early|Pregnancy Losses, Early|Spontaneous Abortion|Spontaneous Abortions|Tubal Abortion|Tubal Abortions
Abortion, Threatened	MESH:D000033	MESH:D011248	Miscarriage, Threatened|Threatened Abortion|Threatened Abortions|Threatened Miscarriage|Threatened Miscarriages
Abortion, Veterinary	MESH:D000034	MESH:D000022|MESH:D000820	Abortions, Veterinary|Veterinary Abortion|Veterinary Abortions
Abrikosov's tumor	MESH:C535558	MESH:D006106	Abrikosoff's granulous cell tumor|Abrikosoff's tumor|Giant granulo-cellular Abrikosov's tumor|Malignant variant of Abrikosov's tumor
Abruptio Placentae	MESH:D000037	MESH:D007744|MESH:D010922	Abruption, Placental|Abruptions, Placental|Placental Abruption|Placental Abruptions
Abruzzo Erickson syndrome	MESH:C535559	MESH:D006314|MESH:D017880|MESH:D019767|MESH:D040181	ABERS|Abruzzo-Erickson Syndrome|Charge-Like Syndrome, X-Linked|CHARGE like syndrome, X linked
Abscess	MESH:D000038	MESH:D013492	Abscesses
Absence of septum pellucidum	MESH:C535562	MESH:D025962	
Absence of Tibia	MESH:C535563	MESH:D004480	Bilateral absence of the tibia|THM|Tibia, absence of|Tibial hemimelia
Absence of tibia with polydactyly	MESH:C535564	MESH:D017689	Polydactyly with absent tibia|THYP|Tibia, Absence of, with Polydactyly|TIBIA, HYPOPLASIA OR APLASIA OF, WITH POLYDACTYLY|TIBIAL HEMIMELIA-POLYDACTYLY-TRIPHALANGEAL THUMBS WITH FIBULAR DIMELIA
Absent corpus callosum cataract immunodeficiency	MESH:C535566	MESH:D002386|MESH:D061085	IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION, AND ABSENT CORPUS CALLOSUM|VICIS|Vici syndrome
Absent duct of Santorini	MESH:C535567	MESH:D004065	Absent accessory pancreatic duct of Santorini
Absent Eyebrows and Eyelashes with Mental Retardation	MESH:C563111	MESH:D005901|MESH:D008607|MESH:D008831|MESH:D011782	Pseudoprogeria Syndrome
Absent patella	MESH:C535568	MESH:D009139	Familial absence of the patella|Familial aplasia of the patella|Patella aplasia-hypoplasia|PTLAH
Absent radii and thrombocytopenia	MESH:C536940	MESH:D000080984|MESH:D013921|MESH:D038062	Chromosome 1q21.1 Deletion Syndrome, 200-Kb|Radial Aplasia-Amegakaryocytic Thrombocytopenia|Radial Aplasia-Thrombocytopenia Syndrome|TAR|TAR Syndrome|Thrombocytopenia Absent Radii|Thrombocytopenia absent radius syndrome|Thrombocytopenia-Absent Radius Syndrome
Absidia corymbifera infection	MESH:C000656947	MESH:D009091	Lichtheimia corymbifera infection|Mucor corymbifer infection|Mycocladus corymbifer infection
Abuse dwarfism syndrome	MESH:C535569	MESH:D002653|MESH:D002658|MESH:D004392	Child abuse dwarfism|Psychosocial dwarfism
